PORT_NAME;COUNTRY;LATITUDE;LONGITUDE
COLONIA;FM;9,516667;138,133333
MALAKAL HARBOR;PW;7,333333;134,45
LONGAN ISLAND;PG;-1,216667;144,3
LORENGAU;PG;-2,016667;147,266667
WEWAK HARBOR;PG;-3,566667;143,633333
HAMBURG HARBOR;PG;-1,633333;149,966667
KOKOPO;PG;-4,333333;152,266667
KIMBE;PG;-5,133333;150,533333
KIETA;PG;-6,216667;155,633333
GIZO HARBOR;SB;-8,1;156,85
NONOPAPA;US;21,866667;-160,233333
APIA;WS;-13,816667;-171,766667
PAGO PAGO HARBOR;AS;-14,283333;-170,666667
ALOFI;NU;-19,033333;-169,933333
AVATIU;CK;-21,2;-159,783333
VAITAPE;PF;-16,5;-151,75
UTUROA;PF;-16,733333;-151,45
PAPEETE;PF;-17,533333;-149,583333
PORT RIKITEA;PF;-23,116667;-134,966667
ATUONA;PF;-9,816667;-139,033333
BAIE TAIOHAE;PF;-8,933333;-140,083333
